19-1-6 22:14:26.4|Info|UpdateApp|Starting Radarr Update Client
19-1-6 22:14:27.3|Debug|DiskTransferService|Copy [/opt/radarr/UI/Content/FontAwesome/fontawesome-webfont.eot] > [/tmp/radarr_update/radarr_backup/UI/Content/FontAwesome/fontawesome-webfont.eot]
19-1-6 22:14:27.3|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/UI/Content/FontAwesome/fontawesome-webfont.eot for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.3|Debug|DiskTransferService|Copy [/opt/radarr/UI/Content/FontAwesome/fontawesome-webfont.svg] > [/tmp/radarr_update/radarr_backup/UI/Content/FontAwesome/fontawesome-webfont.svg]
19-1-6 22:14:27.3|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/UI/Content/FontAwesome/fontawesome-webfont.svg for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.3|Debug|DiskTransferService|Copy [/opt/radarr/UI/Content/FontAwesome/fontawesome-webfont.ttf] > [/tmp/radarr_update/radarr_backup/UI/Content/FontAwesome/fontawesome-webfont.ttf]
19-1-6 22:14:27.3|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/UI/Content/FontAwesome/fontawesome-webfont.ttf for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.3|Debug|DiskTransferService|Copy [/opt/radarr/UI/Content/FontAwesome/fontawesome-webfont.woff] > [/tmp/radarr_update/radarr_backup/UI/Content/FontAwesome/fontawesome-webfont.woff]
19-1-6 22:14:27.3|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/UI/Content/FontAwesome/fontawesome-webfont.woff for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.3|Debug|DiskTransferService|Copy [/opt/radarr/UI/Content/FontAwesome/fontawesome-webfont.woff2] > [/tmp/radarr_update/radarr_backup/UI/Content/FontAwesome/fontawesome-webfont.woff2]
19-1-6 22:14:27.3|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/UI/Content/FontAwesome/fontawesome-webfont.woff2 for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.3|Debug|DiskTransferService|Mirror [/opt/radarr/UI/Content/Fonts] > [/tmp/radarr_update/radarr_backup/UI/Content/Fonts]
19-1-6 22:14:27.3|Debug|DiskTransferService|Copy [/opt/radarr/UI/Content/Fonts/opensans-light.eot] > [/tmp/radarr_update/radarr_backup/UI/Content/Fonts/opensans-light.eot]
19-1-6 22:14:27.3|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/UI/Content/Fonts/opensans-light.eot for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.3|Debug|DiskTransferService|Copy [/opt/radarr/UI/Content/Fonts/opensans-light.ttf] > [/tmp/radarr_update/radarr_backup/UI/Content/Fonts/opensans-light.ttf]
19-1-6 22:14:27.3|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/UI/Content/Fonts/opensans-light.ttf for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.3|Debug|DiskTransferService|Copy [/opt/radarr/UI/Content/Fonts/opensans-light.woff] > [/tmp/radarr_update/radarr_backup/UI/Content/Fonts/opensans-light.woff]
19-1-6 22:14:27.4|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/UI/Content/Fonts/opensans-light.woff for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.4|Debug|DiskTransferService|Copy [/opt/radarr/UI/Content/Fonts/opensans-light.woff2] > [/tmp/radarr_update/radarr_backup/UI/Content/Fonts/opensans-light.woff2]
19-1-6 22:14:27.4|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/UI/Content/Fonts/opensans-light.woff2 for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.4|Debug|DiskTransferService|Copy [/opt/radarr/UI/Content/Fonts/opensans-regular.eot] > [/tmp/radarr_update/radarr_backup/UI/Content/Fonts/opensans-regular.eot]
19-1-6 22:14:27.4|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/UI/Content/Fonts/opensans-regular.eot for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.4|Debug|DiskTransferService|Copy [/opt/radarr/UI/Content/Fonts/opensans-regular.ttf] > [/tmp/radarr_update/radarr_backup/UI/Content/Fonts/opensans-regular.ttf]
19-1-6 22:14:27.4|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/UI/Content/Fonts/opensans-regular.ttf for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.4|Debug|DiskTransferService|Copy [/opt/radarr/UI/Content/Fonts/opensans-regular.woff] > [/tmp/radarr_update/radarr_backup/UI/Content/Fonts/opensans-regular.woff]
